,Unnamed: 0.1,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,dm300_err,dm300_measured
860,860,863,(+)-Quinidine,CA108,56-54-2,324.42,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CC1=CC=CC=C1,Toluene,0.66861928,0.015968891,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.CC1=CC=CC=C1,0.03799981810090425,0.7066190981009043
692,692,694,Rifampicin,AP60,13292-46-1,822.94,C[C@H]1/C=C/C=C(\C(=O)NC\2=C(C3=C(C(=C4C(=C3C(=O)/C2=C/NN5CCN(CC5)C)C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C,CC#N,Acetonitrile,0.999435228,0.000526698,C[C@H]1/C=C/C=C(\C(=O)NC\2=C(C3=C(C(=C4C(=C3C(=O)/C2=C/NN5CCN(CC5)C)C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C.CC#N,0.03787543118810599,0.961559796811894
507,507,508,Tenoxicam,RB34,59804-37-4,337.0190978,CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O,CC(C)=O,Acetone,0.897282604,0.011139163,CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O.CC(C)=O,0.03786417973717093,0.935146783737171
450,450,451,Menadione,AP28,58-27-5,172.0,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,CCOC(C)=O,Etyl acetate,0.351085148,0.098462652,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O.CCOC(C)=O,0.03784938173217911,0.3889345297321791
438,438,439,Tetrafluoroterephthalonitrile 5G,"CB104, C79",1835-49-0,199.9997609,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,CCOC(C)=O,Etyl acetate,0.534027808,0.038494385,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F.CCOC(C)=O,0.03782902492849305,0.5718568329284931
771,771,774,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CC(O)C,2-Propanol,0.275269643,0.056840159,C(#Cc1ccccc1)c1ccccc1.CC(O)C,0.03779672761683711,0.3130663706168371
1081,1081,1084,Thiacloprid,AP45,111988-49-9,252.023645,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,O=CN(C)C,Dimethyl formamide,0.894425398,0.008530945,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl.O=CN(C)C,0.03747344818740295,0.856951949812597
565,565,566,Diphenylacetylene,CA150,501-65-5,178.23,C(#Cc1ccccc1)c1ccccc1,CC(C)=O,Acetone,0.774182798,0.019664618,C(#Cc1ccccc1)c1ccccc1.CC(C)=O,0.037270879362858444,0.7369119186371416
198,198,198,Mepenzolate bromide,AP9,76-90-4,420.0,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,CO,Methanol,0.5288,0.0231,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.CO,0.03713676909184627,0.5659367690918463
534,534,535,"5,5'-Dimethyl-2,2'-bipyridine",Z65,1762-34-1,184.0,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,CC(C)=O,Acetone,0.785809512,0.013196604,CC1=CN=C(C=C1)C2=NC=C(C=C2)C.CC(C)=O,0.03711753703034404,0.748691974969656
462,462,463,2-Hydroxy-4-methoxybenzophenone,CC 19,131-57-7,228.0,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,CCOC(C)=O,Etyl acetate,0.468861713,0.083295143,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O.CCOC(C)=O,0.03707126454179599,0.505932977541796
1046,1046,1049,Anthranilic acid ,CR1,118-92-3,137.0476785,NC1=CC=CC=C1C(O)=O,O=CN(C)C,Dimethyl formamide,0.797759223,0.007782554,NC1=CC=CC=C1C(O)=O.O=CN(C)C,0.03703942151596362,0.7607198014840364
28,28,28,Anthranilic acid ,CR1,118-92-3,137.0476785,NC1=CC=CC=C1C(O)=O,CO,Methanol,0.7497,0.0388,NC1=CC=CC=C1C(O)=O.CO,0.037003947045137986,0.786703947045138
