,Unnamed: 0,Unnamed: 0.1,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,dm300_err,dm300_measured,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1
295,858,861,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CC1=CC=CC=C1,Toluene,0.392619807,0.041411104,O=C1NC2=C(C=CC(Br)=C2)C1.CC1=CC=CC=C1,,,,,,,,0.1754544696491284,0.2171653373508716,,,,
282,845,848,5-Methylfurfural ,CJ54,620-02-0,110.0367794,O=CC1=CC=C(C)O1,CC1=CC=CC=C1,Toluene,0.174233117,0.098901679,O=CC1=CC=C(C)O1.CC1=CC=CC=C1,,,,,,,,0.1753943218520721,-0.0011612048520721,,,,
473,1036,1039,Triptycene,CB109,477-75-8,254.0,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35,CC1CCCO1,2-Methly tetrahydrofurane,0.8862238,0.05406594,C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=CC=CC=C35.CC1CCCO1,,,,,,,,0.1737017204476392,0.7125220795523608,,,,
382,945,948,Oxolinic acid,RB41,14698-29-4,261.0637225,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O,CC(C)(C)OC,Methyl tert butyl ether,0.25465643,0.037641738,CCN(C1=CC2=C(C=C1C3=O)OCO2)C=C3C(O)=O.CC(C)(C)OC,,,,,,,,0.1733202126799735,0.0813362173200265,,,,
607,10,6,"3-BROMOTOLUENE, 98%",D23,591-17-3,170.0,Cc1cccc(Br)c1,O=CN(C)C,Dimethyl formamide,0.188071461,0.008370968,Cc1cccc(Br)c1.O=CN(C)C,12.0,20.0,64.0,95.0,1139.0,1142.0,,0.17281277990849608,0.3608842409084961,,,,
415,978,981,"1-Bromo-4-methoxy-2,5-dimethylbenzene",CA57,58106-25-5,213.9993271,CC1=C(OC)C=C(C)C(Br)=C1,CC(C)(C)OC,Methyl tert butyl ether,-0.194460582,0.173290973,CC1=C(OC)C=C(C)C(Br)=C1.CC(C)(C)OC,,,,,,,,0.1722026817764567,-0.0222579002235433,,,,
711,16,12,,Z22,626-05-1,235.0,BrC1=CC=CC(Br)=N1,CO,Methanol,0.1626,0.0173,BrC1=CC=CC(Br)=N1.CO,41.0,6.0,57.0,18.0,0.0,58.0,12.0,0.1690489723738944,0.3316489723738944,15.0,200.0,200.0,200.0
171,734,737,2-bromo-6-nitrophenol,CB150,13073-25-1,216.9374551,OC1=C([N+]([O-])=O)C=CC=C1Br,CC(O)C,2-Propanol,0.003668519,0.015979501,OC1=C([N+]([O-])=O)C=CC=C1Br.CC(O)C,,,,,,,,0.16882121578429568,0.1724897347842957,,,,
755,60,0,2-ACETYLPYRROLE,Z113,1072-83-9,109.0,CC(=O)C1=CC=CN1,CO,Methanol,0.3192,0.0362,CC(=O)C1=CC=CN1.CO,37.0,2.0,182.0,10.0,33.0,87.0,13.0,0.1687292115828109,0.4879292115828109,63.0,94.0,94.0,94.0
629,32,46,"2-bromo-1,3-dimethylbenzene",Z117,576-22-7,185.0,CC1=C(C(=CC=C1)C)Br,O=CN(C)C,Dimethyl formamide,0.347835201,0.0082717,CC1=C(C(=CC=C1)C)Br.O=CN(C)C,91.0,46.0,58.0,111.0,1155.0,1158.0,,0.16855863994894982,0.5163938409489498,,,,
